words,pos,chunk,labels,sentence_id
Dordrecht,_,O,O,6
2015,_,O,O,6
.,_,O,O,6
Due,_,O,O,7
to,_,O,O,7
their,_,O,O,7
consolidated,_,O,O,7
nature,_,O,O,7
",",_,O,O,7
corporate,_,O,B-THE,7
sustainability,_,O,I-THE,7
reports,_,O,I-THE,7
often,_,O,O,7
mask,_,O,O,7
the,_,O,O,7
evolution,_,O,O,7
of,_,O,O,7
organizations,_,O,O,7
’,_,O,O,7
sustainability,_,O,O,7
initiatives,_,O,O,7
.,_,O,O,7
Thus,_,O,O,8
",",_,O,O,8
to,_,O,O,8
more,_,O,O,8
fully,_,O,O,8
understand,_,O,O,8
the,_,O,O,8
environmental,_,O,B-THE,8
performance,_,O,I-THE,8
of,_,O,O,8
an,_,O,O,8
organization,_,O,O,8
",",_,O,O,8
it,_,O,O,8
is,_,O,O,8
essential,_,O,O,8
to,_,O,O,8
examine,_,O,O,8
the,_,O,O,8
experiences,_,O,O,8
of,_,O,O,8
specific,_,O,O,8
projects,_,O,O,8
and,_,O,O,8
how,_,O,O,8
they,_,O,O,8
relate,_,O,O,8
to,_,O,O,8
corporate,_,O,B-THE,8
sustainability,_,O,I-THE,8
.,_,O,O,8
Based,_,O,O,9
on,_,O,O,9
case,_,O,O,9
studies,_,O,O,9
of,_,O,O,9
green,_,O,B-THE,9
projects,_,O,I-THE,9
in,_,O,O,9
four,_,O,O,9
different,_,O,O,9
organizations,_,O,O,9
",",_,O,O,9
we,_,O,O,9
find,_,O,O,9
that,_,O,O,9
it,_,O,O,9
is,_,O,O,9
difficult,_,O,O,9
to,_,O,O,9
determine,_,O,O,9
the,_,O,O,9
environmental,_,O,O,9
impact,_,O,O,9
of,_,O,O,9
a,_,O,O,9
project,_,O,O,9
a,_,O,O,9
priori,_,O,O,9
",",_,O,O,9
even,_,O,O,9
in,_,O,O,9
cases,_,O,O,9
where,_,O,O,9
environmental,_,O,B-THE,9
considerations,_,O,I-THE,9
are,_,O,O,9
included,_,O,O,9
as,_,O,O,9
part,_,O,O,9
of,_,O,O,9
the,_,O,O,9
initial,_,O,O,9
project,_,O,O,9
scope,_,O,O,9
.,_,O,O,9
Instead,_,O,O,10
",",_,O,O,10
the,_,O,O,10
decision,_,O,O,10
to,_,O,O,10
integrate,_,O,O,10
environmentally,_,O,O,10
favorable,_,O,O,10
elements,_,O,O,10
into,_,O,O,10
projects,_,O,O,10
is,_,O,O,10
a,_,O,O,10
dynamically,_,O,O,10
occurring,_,O,O,10
interaction,_,O,O,10
between,_,O,O,10
competing,_,O,O,10
institutional,_,O,B-THE,10
logics,_,O,I-THE,10
and,_,O,O,10
organizational,_,O,B-THE,10
identities,_,O,I-THE,10
",",_,O,O,10
which,_,O,O,10
create,_,O,O,10
windows,_,O,O,10
of,_,O,O,10
opportunity,_,O,O,10
for,_,O,O,10
individual,_,O,O,10
agency,_,O,O,10
.,_,O,O,10
During,_,O,O,11
these,_,O,O,11
windows,_,O,O,11
",",_,O,O,11
individuals,_,O,O,11
may,_,O,O,11
engage,_,O,O,11
in,_,O,O,11
reinforcing,_,O,O,11
microprocesses,_,O,O,11
that,_,O,O,11
support,_,O,O,11
traditional,_,O,O,11
practices,_,O,O,11
",",_,O,O,11
or,_,O,O,11
invoke,_,O,O,11
enabling,_,O,O,11
microprocesses,_,O,O,11
to,_,O,O,11
facilitate,_,O,O,11
green,_,O,B-THE,11
decision-making,_,O,I-THE,11
",",_,O,O,11
consistent,_,O,O,11
with,_,O,O,11
ecosystem,_,O,B-THE,11
logics,_,O,I-THE,11
.,_,O,O,11
The,_,O,O,12
process,_,O,O,12
model,_,O,O,12
developed,_,O,O,12
in,_,O,O,12
this,_,O,O,12
paper,_,O,O,12
provides,_,O,O,12
a,_,O,O,12
new,_,O,O,12
perspective,_,O,O,12
on,_,O,O,12
the,_,O,O,12
temporal,_,O,O,12
and,_,O,O,12
contextual,_,O,O,12
dimensions,_,O,O,12
of,_,O,O,12
environmental,_,O,B-THE,12
championship,_,O,I-THE,12
behaviors,_,O,I-THE,12
",",_,O,O,12
and,_,O,O,12
sheds,_,O,O,12
light,_,O,O,12
on,_,O,O,12
otherwise,_,O,O,12
puzzling,_,O,O,12
results,_,O,O,12
such,_,O,O,12
as,_,O,O,12
why,_,O,O,12
organizations,_,O,O,12
with,_,O,O,12
strong,_,O,O,12
environmental,_,O,O,12
orientations,_,O,O,12
continue,_,O,O,12
to,_,O,O,12
struggle,_,O,O,12
with,_,O,O,12
delivering,_,O,O,12
projects,_,O,O,12
with,_,O,O,12
strong,_,O,O,12
positive,_,O,O,12
environmental,_,O,O,12
impacts,_,O,O,12
.,_,O,O,12
©,_,O,O,12
Springer,_,O,O,12
Science,_,O,O,12
=+,_,O,O,12
Business,_,O,O,12
Media,_,O,O,12
Dordrecht,_,O,O,12
2015,_,O,O,12
.,_,O,O,12
This,_,O,O,13
paper,_,O,O,13
explores,_,O,O,13
links,_,O,O,13
between,_,O,O,13
different,_,O,O,13
ethical,_,O,B-THE,13
motivations,_,O,I-THE,13
and,_,O,O,13
kinds,_,O,O,13
of,_,O,O,13
corporate,_,O,B-THE,13
social,_,O,I-THE,13
responsibility,_,O,I-THE,13
(,_,O,O,13
CSR,_,O,O,13
),_,O,O,13
activities,_,O,O,13
to,_,O,O,13
distinguish,_,O,O,13
between,_,O,O,13
different,_,O,O,13
types,_,O,O,13
of,_,O,O,13
business,_,O,O,13
cases,_,O,O,13
with,_,O,O,13
regard,_,O,O,13
to,_,O,O,13
sustainability,_,O,B-THE,13
.,_,O,O,13
The,_,O,O,14
design,_,O,O,14
of,_,O,O,14
CSR,_,O,B-THE,14
and,_,O,O,14
corporate,_,O,B-THE,14
sustainability,_,O,I-THE,14
can,_,O,O,14
be,_,O,O,14
based,_,O,O,14
on,_,O,O,14
different,_,O,O,14
ethical,_,O,O,14
foundations,_,O,O,14
and,_,O,O,14
motivations,_,O,O,14
.,_,O,O,14
This,_,O,O,15
paper,_,O,O,15
draws,_,O,O,15
on,_,O,O,15
the,_,O,O,15
framework,_,O,O,15
of,_,O,O,15
Roberts,_,O,O,15
(,_,O,O,15
Organization,_,O,O,15
10,_,O,O,15
:,_,O,O,15
249,_,O,O,15
=-,_,O,O,15
265,_,O,O,15
",",_,O,O,15
2003,_,O,O,15
),_,O,O,15
which,_,O,O,15
distinguishes,_,O,O,15
four,_,O,O,15
different,_,O,O,15
ethical,_,O,O,15
management,_,O,O,15
versions,_,O,O,15
of,_,O,O,15
CSR,_,O,O,15
.,_,O,O,15
The,_,O,O,16
first,_,O,O,16
two,_,O,O,16
ethical,_,O,O,16
motivations,_,O,O,16
are,_,O,O,16
driven,_,O,O,16
either,_,O,O,16
by,_,O,O,16
a,_,O,O,16
reactionary,_,O,B-THE,16
concern,_,O,I-THE,16
for,_,O,O,16
the,_,O,O,16
short-term,_,O,O,16
financial,_,O,O,16
interests,_,O,O,16
of,_,O,O,16
the,_,O,O,16
business,_,O,O,16
",",_,O,O,16
or,_,O,O,16
reputational,_,O,O,16
",",_,O,O,16
driven,_,O,O,16
by,_,O,O,16
a,_,O,O,16
narcissistic,_,O,B-THE,16
concern,_,O,I-THE,16
to,_,O,O,16
protect,_,O,O,16
the,_,O,O,16
firm,_,O,O,16
’,_,O,O,16
s,_,O,O,16
image,_,O,O,16
.,_,O,O,16
The,_,O,O,17
third,_,O,O,17
responsible,_,O,B-THE,17
motivation,_,O,I-THE,17
works,_,O,O,17
from,_,O,O,17
the,_,O,O,17
inside-out,_,O,O,17
and,_,O,O,17
seeks,_,O,O,17
to,_,O,O,17
embed,_,O,O,17
social,_,O,O,17
and,_,O,O,17
environmental,_,O,B-THE,17
concerns,_,O,I-THE,17
within,_,O,O,17
the,_,O,O,17
firm,_,O,O,17
’,_,O,O,17
s,_,O,O,17
performance,_,O,B-THE,17
management,_,O,I-THE,17
systems,_,O,I-THE,17
",",_,O,O,17
and,_,O,O,17
the,_,O,O,17
fourth,_,O,O,17
",",_,O,O,17
a,_,O,O,17
collaborative,_,O,B-THE,17
motivation,_,O,I-THE,17
",",_,O,O,17
works,_,O,O,17
to,_,O,O,17
bring,_,O,O,17
the,_,O,O,17
outside,_,O,O,17
in,_,O,O,17
and,_,O,O,17
seeks,_,O,O,17
to,_,O,O,17
go,_,O,O,17
beyond,_,O,O,17
the,_,O,O,17
boundaries,_,O,O,17
of,_,O,O,17
the,_,O,O,17
firm,_,O,O,17
to,_,O,O,17
create,_,O,O,17
a,_,O,O,17
dialogue,_,O,O,17
with,_,O,O,17
those,_,O,O,17
who,_,O,O,17
are,_,O,O,17
vulnerable,_,O,O,17
to,_,O,O,17
the,_,O,O,17
unintended,_,O,O,17
consequences,_,O,O,17
of,_,O,O,17
corporate,_,O,O,17
conduct,_,O,O,17
.,_,O,O,17
Management,_,O,O,18
activities,_,O,O,18
based,_,O,O,18
on,_,O,O,18
these,_,O,O,18
different,_,O,O,18
ethical,_,O,O,18
motivations,_,O,O,18
to,_,O,O,18
CSR,_,O,B-THE,18
and,_,O,I-THE,18
sustainability,_,O,O,18
result,_,O,O,18
in,_,O,O,18
different,_,O,O,18
operational,_,O,O,18
activities,_,O,O,18
for,_,O,O,18
corporations,_,O,O,18
working,_,O,O,18
towards,_,O,O,18
sustainability,_,O,O,18
and,_,O,O,18
thus,_,O,O,18
have,_,O,O,18
very,_,O,O,18
different,_,O,O,18
effects,_,O,O,18
on,_,O,O,18
how,_,O,O,18
the,_,O,O,18
company,_,O,O,18
’,_,O,O,18
s,_,O,O,18
economic,_,O,B-THE,18
performance,_,O,I-THE,18
is,_,O,O,18
influenced,_,O,O,18
.,_,O,O,18
Assuming,_,O,O,19
that,_,O,O,19
corporate,_,O,O,19
managers,_,O,O,19
are,_,O,O,19
concerned,_,O,O,19
about,_,O,O,19
creating,_,O,O,19
business,_,O,O,19
cases,_,O,O,19
for,_,O,O,19
their,_,O,O,19
companies,_,O,O,19
to,_,O,O,19
survive,_,O,O,19
and,_,O,O,19
prosper,_,O,O,19
in,_,O,O,19
the,_,O,O,19
long,_,O,O,19
term,_,O,O,19
",",_,O,O,19
this,_,O,O,19
paper,_,O,O,19
raises,_,O,O,19
the,_,O,O,19
question,_,O,O,19
of,_,O,O,19
how,_,O,O,19
different,_,O,O,19
ethical,_,O,B-THE,19
motivations,_,O,I-THE,19
for,_,O,O,19
designing,_,O,O,19
CSR,_,O,O,19
and,_,O,O,19
corporate,_,O,B-THE,19
sustainability,_,O,I-THE,19
relate,_,O,O,19
to,_,O,O,19
the,_,O,O,19
creation,_,O,O,19
of,_,O,O,19
different,_,O,O,19
business,_,O,O,19
cases,_,O,O,19
.,_,O,O,19
The,_,O,O,20
paper,_,O,O,20
concludes,_,O,O,20
by,_,O,O,20
distinguishing,_,O,O,20
four,_,O,O,20
different,_,O,O,20
kinds,_,O,O,20
of,_,O,O,20
business,_,O,O,20
cases,_,O,O,20
with,_,O,O,20
regard,_,O,O,20
to,_,O,O,20
sustainability,_,O,O,20
:,_,O,O,20
reactionary,_,O,B-THE,20
and,_,O,I-THE,20
reputational,_,O,I-THE,20
business,_,O,O,20
cases,_,O,O,20
of,_,O,O,20
sustainability,_,O,O,20
",",_,O,O,20
and,_,O,O,20
responsible,_,O,O,20
and,_,O,O,20
collaborative,_,O,O,20
business,_,O,O,20
cases,_,O,O,20
for,_,O,O,20
sustainability,_,O,O,20
.,_,O,O,20
©,_,O,O,20
Springer,_,O,O,20
Science,_,O,O,20
=+,_,O,O,20
Business,_,O,O,20
Media,_,O,O,20
Dordrecht,_,O,O,20
2015,_,O,O,20
.,_,O,O,20
We,_,O,O,21
study,_,O,O,21
companies,_,O,O,21
that,_,O,O,21
do,_,O,O,21
not,_,O,O,21
produce,_,O,O,21
a,_,O,O,21
sustainability,_,O,O,21
report,_,O,O,21
in,_,O,O,21
contexts,_,O,O,21
where,_,O,O,21
institutionalisation,_,O,B-THE,21
is,_,O,O,21
assumed,_,O,O,21
.,_,O,O,21
Based,_,O,O,22
on,_,O,O,22
a,_,O,O,22
careful,_,O,O,22
analysis,_,O,O,22
of,_,O,O,22
interaction,_,O,O,22
patterns,_,O,O,22
between,_,O,O,22
non-reporting,_,O,B-THE,22
companies,_,O,I-THE,22
",",_,O,O,22
sustainability,_,O,B-THE,22
interest,_,O,I-THE,22
groups,_,O,I-THE,22
",",_,O,O,22
and,_,O,O,22
peer,_,O,B-THE,22
organisations,_,O,I-THE,22
",",_,O,O,22
we,_,O,O,22
find,_,O,O,22
patterns,_,O,O,22
of,_,O,O,22
discursive,_,O,B-THE,22
and,_,O,O,22
material,_,O,B-THE,22
isomorphism,_,O,I-THE,22
that,_,O,O,22
suggest,_,O,B-THE,22
sustainability,_,O,I-THE,22
reporting,_,O,O,22
is,_,O,O,22
confined,_,O,O,22
to,_,O,O,22
an,_,O,O,22
issues-based,_,O,B-THE,22
field,_,O,I-THE,22
",",_,O,O,22
rather,_,O,O,22
than,_,O,O,22
spreading,_,O,O,22
as,_,O,O,22
an,_,O,O,22
institutionalised,_,O,B-THE,22
practice,_,O,I-THE,22
across,_,O,O,22
the,_,O,O,22
business,_,O,O,22
community,_,O,O,22
.,_,O,O,22
We,_,O,O,23
argue,_,O,O,23
that,_,O,O,23
the,_,O,O,23
issues-based,_,O,O,23
field,_,O,O,23
exerts,_,O,O,23
only,_,O,O,23
weak,_,O,O,23
pressure,_,O,O,23
for,_,O,O,23
sustainability,_,O,B-THE,23
reporting,_,O,I-THE,23
",",_,O,O,23
and,_,O,O,23
that,_,O,O,23
encouraging,_,O,O,23
more,_,O,O,23
firms,_,O,O,23
to,_,O,O,23
report,_,O,B-THE,23
rests,_,O,I-THE,23
on,_,O,O,23
understanding,_,O,O,23
what,_,O,O,23
influences,_,O,O,23
companies,_,O,O,23
to,_,O,O,23
interact,_,O,O,23
more,_,O,O,23
widely,_,O,O,23
to,_,O,O,23
become,_,O,O,23
part,_,O,O,23
of,_,O,O,23
this,_,O,O,23
field,_,O,O,23
.,_,O,O,23
©,_,O,O,23
Springer,_,O,O,23
Science,_,O,O,23
=+,_,O,O,23
Business,_,O,O,23
Media,_,O,O,23
Dordrecht,_,O,O,23
2015,_,O,O,23
.,_,O,O,23
This,_,O,O,24
paper,_,O,O,24
analyzes,_,O,O,24
the,_,O,O,24
case,_,O,O,24
of,_,O,O,24
Made,_,O,O,24
in,_,O,O,24
Carcere,_,O,O,24
",",_,O,O,24
an,_,O,O,24
innovative,_,O,B-THE,24
social,_,O,I-THE,24
enterprise,_,O,I-THE,24
providing,_,O,O,24
jobs,_,O,O,24
to,_,O,O,24
one,_,O,O,24
of,_,O,O,24
the,_,O,O,24
most,_,O,O,24
marginalized,_,O,O,24
groups,_,O,O,24
in,_,O,O,24
society,_,O,O,24
:,_,O,O,24
convicted,_,O,B-THE,24
women,_,O,I-THE,24
.,_,O,O,24
Relying,_,O,O,25
on,_,O,O,25
an,_,O,O,25
extensive,_,O,O,25
database,_,O,O,25
that,_,O,O,25
covers,_,O,O,25
8,_,O,O,25
years,_,O,O,25
of,_,O,O,25
activity,_,O,O,25
",",_,O,O,25
we,_,O,O,25
propose,_,O,O,25
a,_,O,O,25
micro-level,_,O,B-THE,25
analysis,_,O,I-THE,25
of,_,O,O,25
the,_,O,O,25
processes,_,O,O,25
adopted,_,O,O,25
by,_,O,O,25
Made,_,O,O,25
in,_,O,O,25
Carcere,_,O,O,25
to,_,O,O,25
foster,_,O,O,25
the,_,O,O,25
integral,_,O,B-THE,25
human,_,O,I-THE,25
development,_,O,I-THE,25
of,_,O,O,25
convicted,_,O,B-THE,25
women,_,O,I-THE,25
",",_,O,O,25
its,_,O,O,25
target,_,O,O,25
stakeholders,_,O,B-THE,25
.,_,O,I-THE,25
We,_,O,O,26
show,_,O,O,26
that,_,O,O,26
this,_,O,O,26
complex,_,O,O,26
effort,_,O,O,26
has,_,O,O,26
successfully,_,O,O,26
unfolded,_,O,O,26
through,_,O,O,26
two,_,O,O,26
macro-processes,_,O,O,26
:,_,O,O,26
creating,_,O,O,26
a,_,O,O,26
safe,_,O,O,26
space,_,O,O,26
for,_,O,O,26
experimentation,_,O,O,26
and,_,O,O,26
allowing,_,O,O,26
convicted,_,O,O,26
women,_,O,O,26
to,_,O,O,26
bridge,_,O,O,26
their,_,O,O,26
experience,_,O,O,26
to,_,O,O,26
the,_,O,O,26
outside,_,O,O,26
reality,_,O,O,26
.,_,O,O,26
Our,_,O,O,27
work,_,O,O,27
provides,_,O,O,27
evidence,_,O,O,27
of,_,O,O,27
an,_,O,O,27
organization,_,O,O,27
that,_,O,O,27
successfully,_,O,O,27
confronts,_,O,O,27
the,_,O,O,27
restrictive,_,O,B-THE,27
and,_,O,I-THE,27
dehumanizing,_,O,I-THE,27
setting,_,O,I-THE,27
of,_,O,O,27
prisons,_,O,O,27
by,_,O,O,27
means,_,O,O,27
of,_,O,O,27
market,_,O,B-THE,27
mechanisms,_,O,I-THE,27
that,_,O,O,27
can,_,O,O,27
foster,_,O,O,27
convicted,_,O,O,27
women,_,O,O,27
’,_,O,O,27
s,_,O,O,27
integral,_,O,B-THE,27
human,_,O,I-THE,27
development,_,O,I-THE,27
.,_,O,O,27
©,_,O,O,27
2018,_,O,O,27
",",_,O,O,27
Springer,_,O,O,27
Science,_,O,O,27
=+,_,O,O,27
Business,_,O,O,27
Media,_,O,O,27
B.V,_,O,O,27
.,_,O,O,27
",",_,O,O,27
part,_,O,O,27
of,_,O,O,27
Springer,_,O,O,27
Nature,_,O,O,27
.,_,O,O,27
In,_,O,O,28
order,_,O,O,28
to,_,O,O,28
make,_,O,O,28
strategic,_,O,O,28
decisions,_,O,O,28
and,_,O,O,28
improve,_,O,O,28
their,_,O,O,28
firm,_,O,O,28
’,_,O,O,28
s,_,O,O,28
performance,_,O,O,28
",",_,O,O,28
top,_,O,O,28
management,_,O,O,28
teams,_,O,O,28
must,_,O,O,28
have,_,O,O,28
information,_,O,O,28
on,_,O,O,28
the,_,O,O,28
competitive,_,O,O,28
context,_,O,O,28
in,_,O,O,28
general,_,O,O,28
",",_,O,O,28
and,_,O,O,28
the,_,O,O,28
firm,_,O,O,28
’,_,O,O,28
s,_,O,O,28
competitors,_,O,O,28
in,_,O,O,28
particular,_,O,O,28
.,_,O,O,28
During,_,O,O,29
the,_,O,O,29
decision-making,_,O,O,29
process,_,O,O,29
",",_,O,O,29
top,_,O,O,29
managers,_,O,O,29
can,_,O,O,29
have,_,O,O,29
access,_,O,O,29
to,_,O,O,29
“,_,O,B-THE,29
privileged,_,O,I-THE,29
information,_,O,I-THE,29
”,_,O,I-THE,29
—,_,O,O,29
i.e,_,O,O,29
.,_,O,O,29
",",_,O,O,29
information,_,O,O,29
of,_,O,O,29
a,_,O,O,29
confidential,_,O,O,29
and,_,O,O,29
potentially,_,O,O,29
strategic,_,O,O,29
nature,_,O,O,29
that,_,O,O,29
could,_,O,O,29
ultimately,_,O,O,29
confer,_,O,O,29
a,_,O,O,29
decisional,_,O,O,29
advantage,_,O,O,29
over,_,O,O,29
competing,_,O,O,29
parties,_,O,O,29
.,_,O,O,29
However,_,O,O,30
",",_,O,O,30
obtaining,_,O,O,30
and,_,O,O,30
using,_,O,O,30
privileged,_,O,O,30
information,_,O,O,30
in,_,O,O,30
a,_,O,O,30
business,_,O,O,30
context,_,O,O,30
is,_,O,O,30
often,_,O,O,30
illegal—and,_,O,O,30
if,_,O,O,30
not,_,O,O,30
",",_,O,O,30
is,_,O,O,30
usually,_,O,O,30
deemed,_,O,O,30
unethical,_,O,O,30
or,_,O,O,30
“,_,O,O,30
against,_,O,O,30
the,_,O,O,30
rules,_,O,O,30
.,_,O,O,30
”,_,O,O,30
Using,_,O,O,31
a,_,O,O,31
quasi-experimental,_,O,O,31
design,_,O,O,31
",",_,O,O,31
this,_,O,O,31
study,_,O,O,31
explores,_,O,O,31
the,_,O,O,31
reasons,_,O,O,31
why,_,O,O,31
an,_,O,O,31
individual,_,O,O,31
might,_,O,O,31
engage,_,O,O,31
in,_,O,O,31
such,_,O,O,31
unethical,_,O,B-THE,31
behavior,_,O,I-THE,31
.,_,O,O,31
We,_,O,O,32
assess,_,O,O,32
the,_,O,O,32
extent,_,O,O,32
to,_,O,O,32
which,_,O,O,32
managers,_,O,O,32
use,_,O,O,32
privileged,_,O,O,32
information,_,O,O,32
with,_,O,O,32
respect,_,O,O,32
to,_,O,O,32
perceived,_,O,O,32
team,_,O,O,32
cohesion,_,O,O,32
and,_,O,O,32
peers,_,O,O,32
’,_,O,O,32
ethicality,_,O,O,32
.,_,O,O,32
More,_,O,O,33
specifically,_,O,O,33
",",_,O,O,33
our,_,O,O,33
results,_,O,O,33
show,_,O,O,33
that,_,O,O,33
the,_,O,O,33
use,_,O,O,33
of,_,O,O,33
privileged,_,O,B-THE,33
information,_,O,I-THE,33
is,_,O,O,33
predicted,_,O,O,33
by,_,O,O,33
the,_,O,O,33
decision-maker,_,O,O,33
’,_,O,O,33
s,_,O,O,33
perceptions,_,O,O,33
of,_,O,O,33
their,_,O,O,33
team,_,O,O,33
cohesion,_,O,O,33
and,_,O,O,33
their,_,O,O,33
peers,_,O,O,33
’,_,O,O,33
ethicality,_,O,O,33
.,_,O,O,33
Moreover,_,O,O,34
",",_,O,O,34
we,_,O,O,34
find,_,O,O,34
that,_,O,O,34
team,_,O,B-THE,34
performance,_,O,I-THE,34
",",_,O,O,34
as,_,O,O,34
a,_,O,O,34
group-level,_,O,O,34
nonself-reported,_,O,O,34
factor,_,O,O,34
(,_,O,O,34
measured,_,O,O,34
by,_,O,O,34
the,_,O,O,34
firm,_,O,O,34
’,_,O,O,34
s,_,O,O,34
share,_,O,O,34
price,_,O,O,34
in,_,O,O,34
our,_,O,O,34
simulation,_,O,O,34
),_,O,O,34
",",_,O,O,34
moderates,_,O,O,34
the,_,O,O,34
relationship,_,O,O,34
between,_,O,O,34
cohesion,_,O,B-THE,34
and,_,O,O,34
the,_,O,O,34
use,_,O,O,34
of,_,O,O,34
privileged,_,O,O,34
information,_,O,O,34
.,_,O,O,34
The,_,O,O,35
relationship,_,O,O,35
between,_,O,O,35
cohesion,_,O,O,35
",",_,O,O,35
ethical,_,O,B-THE,35
behavior,_,O,I-THE,35
",",_,O,O,35
and,_,O,O,35
team,_,O,B-THE,35
performance,_,O,I-THE,35
is,_,O,O,35
also,_,O,O,35
discussed,_,O,O,35
.,_,O,O,35
We,_,O,O,36
draw,_,O,O,36
on,_,O,O,36
these,_,O,O,36
findings,_,O,O,36
to,_,O,O,36
make,_,O,O,36
some,_,O,O,36
practical,_,O,O,36
suggestions,_,O,O,36
on,_,O,O,36
how,_,O,O,36
to,_,O,O,36
incorporate,_,O,O,36
practices,_,O,O,36
that,_,O,O,36
could,_,O,O,36
better,_,O,O,36
prevent,_,O,O,36
